package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
tech.mapps.swissborgtechchallenge.ui.ErrorWidget,ErrorWidget,1,1,1,0,0,0,0,0,1,2,
tech.mapps.swissborgtechchallenge.ui.ErrorWidgetNoInternetPreview,ErrorWidgetNoInternetPreview,1,1,1,0,0,0,0,0,1,1,
tech.mapps.swissborgtechchallenge.ui.ErrorWidgetNoInternetOldDataPreview,ErrorWidgetNoInternetOldDataPreview,1,1,1,0,0,0,0,0,1,1,
tech.mapps.swissborgtechchallenge.ui.ErrorWidgetGenericErrorPreview,ErrorWidgetGenericErrorPreview,1,1,1,0,0,0,0,0,1,1,
tech.mapps.swissborgtechchallenge.ui.ErrorWidgetGenericErrorOldDataPreview,ErrorWidgetGenericErrorOldDataPreview,1,1,1,0,0,0,0,0,1,1,
tech.mapps.swissborgtechchallenge.ui.LoadingIndicator,LoadingIndicator,1,1,1,0,0,0,0,0,1,1,
tech.mapps.swissborgtechchallenge.ui.LoadingIndicatorPreview,LoadingIndicatorPreview,1,1,1,0,0,0,0,0,1,1,
tech.mapps.swissborgtechchallenge.ui.RowLabel,RowLabel,1,1,1,0,0,0,0,0,1,1,
tech.mapps.swissborgtechchallenge.ui.RowLabelPreview,RowLabelPreview,1,1,1,0,0,0,0,0,1,1,
tech.mapps.swissborgtechchallenge.ui.SearchField,SearchField,1,1,1,0,0,0,0,0,1,2,
tech.mapps.swissborgtechchallenge.ui.SearchFieldEmptyPreview,SearchFieldEmptyPreview,1,1,1,0,0,0,0,0,1,1,
tech.mapps.swissborgtechchallenge.ui.SearchFieldFilledInPreview,SearchFieldFilledInPreview,1,1,1,0,0,0,0,0,1,1,
tech.mapps.swissborgtechchallenge.ui.TickerCard,TickerCard,1,1,1,0,0,0,0,0,1,1,
tech.mapps.swissborgtechchallenge.ui.TickerCardPositiveChangePreview,TickerCardPositiveChangePreview,1,1,1,0,0,0,0,0,1,1,
tech.mapps.swissborgtechchallenge.ui.TickerCardNegativeChangePreview,TickerCardNegativeChangePreview,1,1,1,0,0,0,0,0,1,1,
tech.mapps.swissborgtechchallenge.ui.TickersList,TickersList,1,1,1,0,0,0,0,0,1,1,
tech.mapps.swissborgtechchallenge.ui.TickersListPreview,TickersListPreview,1,1,1,0,0,0,0,0,1,1,
tech.mapps.swissborgtechchallenge.ui.TradingScreen,TradingScreen,1,1,1,0,0,0,1,0,2,4,
tech.mapps.swissborgtechchallenge.ui.TradingScreenContent,TradingScreenContent,1,1,1,0,0,0,0,0,1,1,
tech.mapps.swissborgtechchallenge.ui.theme.SwissborgTechChallengeTheme,SwissborgTechChallengeTheme,1,1,1,0,0,0,1,0,4,5,
